,0
0,다이소 드디어 출시 💯 / 매장에 있다면 무조건 사세요 💁🏻 / 사용하면 누구나 만족하는 살림템 5가지 / daiso best top 5 ❤️ 게시자: 살림남 The Life 1일 전 6분 2초 
1,"[💖3월 4주차 다이소 신상품 1탄💖] 귀염뽀짝 뽀글이 곰돌이🐻 파우치 그리고 마이멜로디, 헬로키티까지💞 이번에도 다양한 상품들 준비완료!!✊ 게시자: 다이소 2주 전 2분 15초 "
2,다이소 백화점 1층부터 12층까지 싹 쓸어왔다!! 갯수만 80개..😱🔥 게시자: 옐언니 26분 전 22분 
3,다이소 몰아보기 품절되기 전에 구매각 다이소추천템 살림추천템 득템하시라 게시자: 세정CLEAN 5일 전 28분 
4,다이소 추천템 30가지 몰아보기🌷/ 2배속 다이소 꿀템 모음 1탄🍯/ 다이소 방문전에 꼭 보세요👀 게시자: 민지리뷰 2주 전 26분 
5,다이소 그릇 괜찮을까? 게시자: 세리세라 2일 전 12분 37초 
6,다이소 지금 당장 달려가세요 💯 / 모두가 찾아 헤맨다는 필수템 💁🏻 / 이제는 이것까지 팔아요 / daiso best top 5 ❤️ 게시자: 살림남 The Life 8일 전 7분 12초 
7,다이소 출시 후 매출 급상승 중인 다이소 품절 대란 추천템 5가지💯 백종원도 아직 못 찾은 다이소 신상 주방템부터 입고 즉시 품절되는 다이소 꿀템🍯 찐살림템 베스트셀러 생활용품 게시자: 쉼플살림 The simple living 5일 전 9분 34초 
8,다이소 직원도 없어서 못사요 💯 / 매장에 있다면 일단 꼭 사오세요 💁🏻 / 모두가 찾고 있는 살림템 / daiso best top 5 ❤️ 게시자: 살림남 The Life 2주 전 7분 30초 
9,"10,000% 유용한 다이소 진짜 꿀템 11가지 - 직원들도 사간다고? 게시자: 장박사의 구매중독 1개월 전 6분 4초 "
10,"직원들만 몰래 산다는 다이소 꿀템 5가지ㅣ다이소,다이소 추천템,다이소 꿀템,다이소 신상,주방용품ㅣ이편한살림 게시자: 이편한살림 EasyLiving 2개월 전 9분 41초 "
