,매장명,주소,전화번호
0,다이소 명동본점,명동길 43,02-3789-6016
1,다이소 명동역점,퇴계로 134-1,02-318-6017
2,다이소 공릉점,공릉1동 동일로192길 29,02-976-0006
3,다이소 외대역점,이문동 휘경로 15,02-963-6016
4,다이소 중계역점,중계2.3동,
5,다이소 먹골역점,묵동 동일로157가길 6,
6,다이소 노원문화의거리점,상계6.7동 노해로79길 6-19,02-935-6016
7,다이소 청량리역점,청량리동,02-960-6016
8,다이소 도봉점,도봉동 611-26,02-955-3527
9,다이소 회기역점,휘경동 320-3,070-8259-3320
10,다이소 방학역점,방학제1동 도봉로 696,02-3494-6016
11,다이소 홍대2호점,양화로 182,02-336-6016
12,다이소 건대입구점,아차산로 225 지하 1층,02-464-6016
13,다이소 대지시장점,솔샘로 239,02-988-6016
14,다이소 신촌본점.ダイソー daiso,노고산동 신촌로 90 신촌역,02-335-6016
15,다이소 강남본점,강남대로 372 파인타워,050-71386-6017
16,다이소 동대문점,창신동 율곡로 309,02-741-6016
17,다이소 수유본점,번동 도봉로 342,
18,다이소 홍대입구점,서교동 356-1,
19,다이소 종로본점,종로2가 삼일대로 395,02-730-6016
20,다이소 압구정역점,논현로 878,
21,다이소 정릉시장점,정릉동 보국문로 9,
22,다이소 장한평역점,장안동 장한로 10 지하 1층,02-3394-6014
23,다이소 성수점,성수동2가 561-1번지 승재빌딩 1층 성동구 서울특별시 KR,02-465-1331
24,다이소 안암동점,안암동5가 104-30,02-925-6016
25,다이소 성신여대역점,동선동1가 동소문로나길 2,02-921-6018
26,다이소 답십리점,천호대로 308,02-3394-6015
27,다이소 서울대입구점,봉천동 남부순환로 1840,02-882-6016
28,다이소 서울시청광장점,세종대로 93,02-318-6016
29,다이소 삼양시장점,미아동 761-1,
30,다이소 방이시장점,방이동 백제고분로48길 5,02-422-6016
31,다이소 장안사거리점,장안동 369-3,02-2244-6016
32,다이소 망우2호점,망우동 망우로 416,02-433-6016
33,다이소 한성대입구역2호점,동소문로 14,02-762-6016
34,다이소 화양동점,광나루로 370,02-462-6016
35,다이소 서울역점,한강대로 405,02-6020-3963
36,다이소 대학로점,대학로 140,02-747-6016
37,다이소 상봉역점,상봉동 100-29,
38,다이소 아차산역점,구의제2동 천호대로 661,
39,다이소 코엑스몰점,서울,02-556-6016
40,다이소 이태원점,이태원로15길 1,02-792-6016
41,다이소 경동시장점,제기동 번지 지하 1054-1 1층,
42,다이소 신사점,서울특별시 강남구,02-511-6016
43,다이소 이대역점,신촌로 183,02-364-6016
44,다이소 대치역점,남부순환로 2921,050-71397-6017
45,다이소 신사점,"-dong, 18 논현1동",02-511-6016
46,다이소 종암점,종암동 종암로21길 3 용진빌딩,070-7565-3320
47,다이소 안국역2호점,안국동 율곡로 45,02-732-6016
48,다이소 마천점,마천동 127-9번지 지하 송파구 서울특별시 KR,02-400-6350
49,다이소 대치본점,도곡로 435,02-564-6016
50,다이소 교대역점,서초동 서초대로 320,02-532-6001
51,다이소 잠실점,석촌호수로 88,02-416-6017
52,다이소 GS슈퍼명일점,명일동 312-99,
53,다이소 강남구청역점,학동로 346 지하,02-515-6016
54,다이소 강남고속버스터미널점,신반포로 194 서울고속버스터미널 지하 1층,02-533-6016
55,다이소 중계동점,중계동 364-19,02-932-6016
56,다이소 양재2호점,양재동 남부순환로 2614 한솔로이젠트,02-574-6016
57,다이소 석계역점,월계동 63-10,02-943-5394
58,다이소 고덕점,서울특별시 강동구,02-3426-6016
59,다이소 경복궁역점,적선동 사직로 125,02-733-6016
60,다이소 송파구청점,방이동 오금로 87 지하 1층,02-424-6016
61,다이소 선릉점,대치동 테헤란로 414 엘앤비타워,02-538-6016
62,다이소 중곡역점,면목로 147,02-461-6016
63,다이소 한티역점,도곡동 538-1,
64,다이소 합정동점,합정동 독막로 33-1,02-332-6019
65,다이소 강북구청사거리점,한천로 1038,
66,다이소 신촌명물거리점,명물길 27,02-362-6016
67,다이소 신논현역점,역삼동 강남대로 470,02-554-6016
68,다이소 매봉역점,서울특별시 강남구,1522-4400
69,다이소 둔촌동역점,양재대로 1355 지하 1층,02-471-6016
70,다이소 노원본점,동일로 1392,02-930-5031
71,다이소 용산아이파크몰점,한강로동 한강대로21나길 17,02-2012-0337
72,다이소 도곡점,도곡동 544-2,02-529-6016
73,다이소 여의도점,여의나루로 61,02-761-6016
74,다이소 낙성대점,봉천동 1656-10,02-883-6016
75,다이소 창동3호점,창동 덕릉로63가길 68,02-900-8033
76,다이소 대방점,여의대방로 190,
77,다이소 롯데슈퍼홍제2점,홍제동 469,02-482-6013
78,다이소 전농점,전농동 38-24번지 전농동 1층 동대문구 서울특별시 KR,070-7739-3320
79,다이소 구산역점,갈현동 468-2,
80,다이소 구로디지털 2호점,신림동 시흥대로 557 지하 1층,02-851-6016
81,다이소 혜화점,창경궁로 239,02-764-6016
82,다이소 남영역점,갈월동 한강대로77길 12 국제전산빌딩,02-702-6016
83,다이소 경기마트길음점,길음동 길음로9길 50,02-942-0066
84,다이소 동묘점,숭인동 85,02-766-6016
85,다이소 남성역점,사당로17가길 16 지하 1층,02-532-5473
86,다이소 상암월드컵점,성산제2동 월드컵로 240,
87,다이소 롯데슈퍼전농점,서울특별시 동대문구,02-405-0800
88,다이소 홈플러스동대문점,용신동 47-9,
89,다이소 금호금남시장점,독서당로 290-1,02-2298-6015
90,다이소 상일동역점,고덕동 고덕로 399,02-426-6016
91,다이소 상왕십리역점,하왕십리동 890-181,02-2299-6016
92,다이소 롯데마트영등포점,영등포동8가 62-1,
93,다이소 사당2호점,남부순환로 2057,02-586-6016
94,다이소 성대시장점,상도동 상도로 102 성대시장,02-814-6016
95,다이소 봉천2호점,봉천동 남부순환로 1731,02-3285-6015
96,다이소 홈플러스중계점,중계2.3동 동일로204가길 12 1층,
97,다이소 응암본점,영업 중 ⋅ 오후 10:00에 영업 종료,
98,다이소 신림점,호암로 605,02-3285-6016
99,다이소 흑석점,흑석동 서달로 161-1,02-824-6016
100,다이소 신림3호점,서원동 신림로 318,02-874-6016
101,다이소 상봉역점,상봉제1동 망우로 289,02-435-6016
102,다이소 구의역점,서울특별시 광진구,02-454-6010
103,다이소 목동사거리점,화곡동 등촌로5가길 2,02-2653-3016
104,다이소 가좌역점,남가좌동 수색로 26,
105,다이소 동덕여대점,월곡제2동 18-50 2층,
106,다이소 번동점,번동 오현로 190,02-982-6016
107,다이소 엔터식스왕십리역점,행당동 왕십리광장로 17,02-2220-6026
108,다이소 군자역점,능동 276-2,02-456-6016
109,다이소 연희동점,연희로 83,
110,다이소 남부터미널점,서초중앙로 36,02-521-8498
111,다이소동대문점,을지로6가 17-2 ga,
112,다이소 아현역점,아현동 신촌로 270,02-363-6016
113,다이소,면목제7동 627-1,
114,다이소 동부시장점,상봉동 130번지 하층1층 중랑구 서울특별시 KR,070-4100-3320
115,다이소 수유시장점,미아동 도봉로 260 운산빌딩,02-987-6019
