,매장명,주소,위도,경도
0,강남본점, 서울특별시 강남구 강남대로 372,37.5146065,37.5146065
1,강릉입암점, 강원도 강릉시 용지로 23,37.7616867,37.7616867
2,강북구청사거리점, 서울특별시 강북구 한천로 1038,37.634969,37.634969
3,개봉남부점, 서울특별시 구로구 남부순환로97길 3,37.494423049999995,37.494423049999995
4,거제옥포2호점, 경상남도 거제시 옥포대첩로 42,34.8935168,34.8935168
5,경기광주본점, 경기도 광주시 광주대로 17,None,None
6,경인2센터, 서울특별시 용산구 이태원로15길 1,37.5346186,37.5346186
7,광명하안점, 경기도 광명시 오리로 665,None,None
8,광주센터, 광주광역시 북구 설죽로 333,35.1771973,35.1771973
9,광주수완2호점, 광주광역시 광산구 장신로 39,35.19112705,35.19112705
10,교대역점, 서울특별시 서초구 서초대로 320,37.4958805,37.4958805
11,구리역점, 경기도 구리시 경춘로 249,37.604004,37.604004
12,구미봉곡본점, 경상북도 구미시 야은로 288,36.1238973,36.1238973
13,김포풍무로점, 경기도 김포시 풍무로 227,37.6066215,37.6066215
14,김해율하2호점, 경상남도 김해시 율하3로 26,35.1693368,35.1693368
15,김해진영본점, 경상남도 김해시 진영읍 진산대로,35.3109077,35.3109077
16,남양주화도점, 경기도 남양주시 화도읍 경춘로,37.6698089,37.6698089
17,노원문화의거리점, 서울특별시 노원구 노해로79길 6-19,37.6553383,37.6553383
18,대구두산오거리점, 대구광역시 수성구 무학로 142,35.8285128,35.8285128
19,대구죽전네거리점, 대구광역시 달서구 달구벌대로 1541-1,35.8514859,35.8514859
20,대구테크노폴리스점, 대구광역시 달성군 현풍읍 테크노대로,35.6891088,35.6891088
21,대전도마2호점, 대전광역시 서구 제비네1길 4,36.3158282,36.3158282
22,대전센터, 대전광역시 중구 동서대로 1307,36.3264855,36.3264855
23,대학로점, 서울특별시 종로구 대학로 138-2,37.5709762,37.5709762
24,동두천지행점, 경기도 동두천시 지행로 67,None,None
25,마산합성점, 경상남도 창원시 마산회원구 3·15대로 730,35.2513203,35.2513203
26,매봉역점, 서울특별시 강남구 남부순환로 2748,37.494022,37.494022
27,목포옥암점, 전라남도 목포시 후광대로 128,34.8143309,34.8143309
28,발산역점, 서울특별시 강서구 공항대로 280,37.5471964,37.5471964
29,보라매점," 서울특별시 동작구 보라매로5가길 16 (신대방동,",None,None
30,부산기장본점, 부산광역시 기장군 기장읍 차성동로,35.2481107,35.2481107
31,부산남포점, 부산광역시 중구 구덕로 46,35.0982176,35.0982176
32,부산명지국제신도시점, 부산광역시 강서구 명지국제8로 237,35.098799,35.098799
33,부산센텀시티점, 부산광역시 해운대구 센텀5로 55,35.1729945,35.1729945
34,부산연산토곡2호점, 부산광역시 연제구 과정로 157,35.1877779,35.1877779
35,부산용호점, 부산광역시 남구 용호로 133,35.1296406,35.1296406
36,부산주례점," 부산광역시 사상구 백양대로 526 (주례동,",None,None
37,부산화명2호점, 부산광역시 북구 금곡대로 208,35.2392424,35.2392424
38,부천범박동점, 경기도 부천시 양지로 125,None,None
39,부천중동본점, 경기도 부천시 길주로 267,37.506556,37.506556
40,분당서현점, 경기도 성남시 분당구 분당로53번길 11,None,None
41,상왕십리역점, 서울특별시 성동구 왕십리로 373,37.5597529,37.5597529
42,서울1센터, 서울특별시 송파구 오금로 87,37.5203108,37.5203108
